title,location,price,property_type,bedrooms,bathrooms,toilets,added_date,updated_date,url,city,page
3 bedroom block of flats for sale,"Kaniz Estate Karsana, Gwarinpa, Abuja","75,000,000",Block of Flats,3,,4,11 Jul 2025,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/abuja/gwarinpa/2972323-very-clean-3-bedroom-block-of-flat,abuja,2
3 bedroom detached bungalow for sale,"Efab, Lokogoma District, Abuja","70,000,000",Detached Bungalow,3,3,4,03 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/abuja/lokogoma-district/3324077-distress-3-bedroom-bungalow-with-2-self-contained-boys-quarter,abuja,2
49 bedroom hotel / guest house for sale,"Zone 3, Wuse, Abuja","2,500,000,000",Hotel / Guest House,49,50,50,22 Jan 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/commercial/hotels-guest-houses/abuja/wuse/zone-3/3306792-49rooms-hotel,abuja,2
Residential land for sale,"Opposite Naf Valle Estate, Idu Industrial, Abuja","7,500,000",Residential Land,,,,19 Jan 2026,19 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/idu-industrial/3300551-residential-land,abuja,3
Plaza / complex / mall for sale,"Zone 1, Wuse, Abuja","2,000,000,000",Plaza / Complex / Mall,,38,38,25 Jan 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/commercial/plaza-complex-mall/abuja/wuse/zone-1/3309980-office-complex,abuja,3
5 bedroom detached duplex for sale,"Karsana, Abuja","200,000,000",Detached Duplex,5,6,6,25 Jan 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/karsana/3310156-5-bedroom-fully-detached-duplex,abuja,3
5 bedroom terraced duplex for sale,"Maitama District, Abuja","1,200,000,000",Terraced Duplex,5,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/maitama-district/3355472-spacious-5-bedrooms-terraced-duplex,abuja,3
Commercial land for sale,"Area 11, Garki, Abuja","3,500,000,000",Commercial Land,,,,06 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/commercial-land/abuja/garki/3329869-7400sqm-commercial-not-specified-land,abuja,3
4 bedroom terraced duplex for sale,"Dakibiyu, Jabi, Abuja","180,000,000",Terraced Duplex,4,5,5,08 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/jabi/3333268-cheapest-4-bedroom-terrace-duplex-with-bq,abuja,3
4 bedroom detached duplex for sale,"Urban Shelter, Katampe, Abuja","330,000,000",Detached Duplex,4,5,5,12 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/katampe-district/3339737-4-bedroom-fully-detached-duplex,abuja,3
4 bedroom detached duplex for sale,"Maitama District, Abuja","1,500,000,000",Detached Duplex,4,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/maitama-district/3355469-luxury-4-bedrooms-detached-duplex-2-bq,abuja,3
4 bedroom terraced duplex for sale,"Mechanic Phase 3, Apo Resettlement, Apo, Abuja","35,000,000",Terraced Duplex,4,4,6,17 Feb 2026,17 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/apo/apo-resettlement/3347687-distress-2-units-of-terrace-duplex-carcass,abuja,3
3 bedroom flat / apartment for sale,"River Park, Lugbe District, Abuja","100,000,000",Flat / Apartment,3,3,4,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/abuja/lugbe-district/3355448-exquisite-3-bedroom-apartment,abuja,3
2 bedroom flat / apartment for sale,"River Park, Lugbe District, Abuja","90,000,000",Flat / Apartment,2,2,3,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/abuja/lugbe-district/3355454-bespoke-2-bedroom-apartment,abuja,3
3 bedroom terraced duplex for sale,"Von Axis, Lugbe District, Abuja","80,000,000",Terraced Duplex,3,3,4,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/lugbe-district/3355423-exquisitely-built-3-bedrooms-duplex,abuja,3
5 bedroom house for sale,"Mbora (Nbora), Abuja","230,000,000",House,5,5,6,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/abuja/mbora/3355410-large-3-bedrooms-with-2-bedrooms-mini-flat-bq-and-study,abuja,3
5 bedroom detached duplex for sale,"Asokoro District, Abuja","650,000,000",Detached Duplex,5,,,18 Feb 2026,18 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/asokoro-district/3348653-5-bedroom-carcass-with-bq,abuja,3
5 bedroom detached duplex for sale,"Asokoro District, Abuja","850,000,000",Detached Duplex,5,6,6,18 Feb 2026,19 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/asokoro-district/3348661-5-bedroom-carcass-with-basement-bq,abuja,3
5 bedroom detached duplex for sale,"Asokoro Hills, Asokoro District, Abuja","1,500,000,000",Detached Duplex,5,6,6,04 Sep 2024,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/asokoro-district/2440651-luxurious-five-bedroom-detached-duplex-a-one-bedroom-bq,abuja,3
Residential land for sale,"Karu Karshi, Karu, Abuja","8,000,000",Residential Land,,,,22 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/karu/3355387-residential-plot-of-land-about-600sqm-in-a-buildable-area,abuja,3
