,title,property_type,location,price,price_category,bedroom,bathroom,price_per_bedroom,added_date,updated_date,month_added,state
10673,Spacious  4 Bedroom Semi Detached Duplex,semi detached duplex,"magboro, ogun",75000000.0,high,4.0,4.0,18750000.0,,2026-01-15,NaT,Ogun
10674,Uncompleted Bungalow On Half Plot,land,"abule ogun, ifo, ogun",10000000.0,mid,4.0,4.0,2500000.0,,2025-11-27,NaT,Ogun
10675,100 Percent Dry Land,land,"cresthill residence, sango, atan ota, ado-odo/ota, ogun",2500000.0,low,,,,2025-09-08,2026-01-26,2025-09,Ogun
10676,Land,land,"sagamu interchange facing the express, sagamu, ogun",150000000.0,high,,,,,2026-01-24,NaT,Ogun
10677,Vacant Land With Foundation Measuring 800sqmts,land,"lawyerstreet off ofada road, mowe ofada, ogun",15000000.0,mid,,,,,2026-01-25,NaT,Ogun
10678,Vacant Land Fenced Measuring 600sqmts,land,"alone ofada road, mowe ofada, ogun",7500000.0,low,,,,,2026-01-25,NaT,Ogun
10679,Premium 100% Dry Land Typography With Registered Survey And C Of O,land,"close to dapo abiodun housing estate, off muhammad buhari road,kobape, abeokuta south, ogun",2500000.0,low,,,,,2026-01-25,NaT,Ogun
10680,2 Acres Of Land,land,"ibogun, ifo, ogun",5000000.0,low,,,,,2026-01-23,NaT,Ogun
10681,Full Plot Of Land In A Secure Estate,land,"voera estate, berger, arepo, ogun",40000000.0,mid,,,,2025-03-08,2025-12-29,2025-03,Ogun
10682,A Storey Building On Full Plot Of Land,land,"magboro estate, magboro, ogun",49000000.0,mid,8.0,8.0,6125000.0,2025-04-08,2026-01-23,2025-04,Ogun
10683,350 Acres Of Land,land,"shotubo ishagamu local government, sagamu, ogun",12000000.0,mid,,,,2025-06-08,2026-01-24,2025-06,Ogun
10684,3 Bedroom Terrace In An Estate.,flat/apartment,"makun city, km 46, ogun",65000000.0,high,3.0,3.0,21666666.67,2025-07-08,2026-01-20,2025-07,Ogun
10685,"C Of O Land, Buy 6 Get 1 Free",land,"kambili city i1 ibefun village, off / ikorodu road, ijebu ode, ogun",2500000.0,low,,,,2025-09-08,2026-01-26,2025-09,Ogun
10686,Luxury 3-bedroom Custom-built Terrace Duplex Advance Carcass,house,"makun city, km 46, ogun",65000000.0,high,3.0,,21666666.67,2025-11-08,2026-01-02,2025-11,Ogun
10687,A Storey Building Blocks Of Flats With Pent House Full Plot Of Land,land,"ibafo, ogun",125000000.0,high,,,,2025-09-08,2026-01-18,2025-09,Ogun
10688,12 Acres Of Land,land,"along ijoko road, sango ota, ogun",700000000.0,high,,,,2025-12-08,2025-11-17,2025-12,Ogun
10689,Full Plot Of Land With Foundation Within A Fast Developing Community,land,"npa port authority estate, obeere, sango ota, ogun",6000000.0,low,,,,,2026-01-23,NaT,Ogun
10690,Modern 4 Bedroom Bungalow On Full Plot,land,"ikene remo, sagamu, ogun",55000000.0,high,4.0,4.0,13750000.0,,2025-12-10,NaT,Ogun
10691,4 Bedrooms Detached Duplex With 2 Bedrooms Flat Bq,detached duplex,"berger, arepo, ogun",150000000.0,high,4.0,5.0,37500000.0,,2026-01-16,NaT,Ogun
10692,Verified Land In A Prime Location,land,"elegant city estate mowe, asese, ibafo, ogun",2700000.0,low,,,,,2026-01-26,NaT,Ogun
10693,Residential Land,land,"atan ota, ado-odo/ota, ogun",1000000.0,low,,,,,2026-01-20,NaT,Ogun
10694,Fantastic 650 Sqm Land With  C Of  O,land,"lagos/ibadan expressway very close to punch newspaper, magboro, ogun",180000000.0,high,,,,,2026-01-25,NaT,Lagos
10695,Land,land,"palmcrest, imeko afon, ogun",3000000.0,low,,,,,2026-01-19,NaT,Ogun
10696,Land,land,"isiwo, ijebu ode, ogun",1050000.0,low,,,,,2026-01-19,NaT,Ogun
10697,Residential Land,land,"abeokuta south, ogun",1700000.0,low,,,,,2026-01-20,NaT,Ogun
10698,Residential Land,land,"mowe town, ogun",5000000.0,low,,,,,2026-01-20,NaT,Ogun
10699,Well Finished 6 Units Of 3 Bedrooms Flats All En Suite,flat/apartment,"ayodeji otegbola housing estate , iwoye along ilogbo road, sango ota, ogun",150000000.0,high,,,,,2026-01-20,NaT,Ogun
10700,A 4 Acre Of Land Fenced Round With Gate,land,"km 46, ogun",2300000000.0,high,,,,,2026-01-23,NaT,Ogun
10701,3 Bedroom Bungalow With Bq,bungalow,"mowe, ofada, mowe ofada, ogun",45000000.0,mid,3.0,3.0,15000000.0,,2026-01-20,NaT,Ogun
10702,Oil Palm Farmland,land,"oke sapen, ijebu east, ogun",550000.0,low,,,,,2026-01-26,NaT,Ogun
10703,Bottled Water And Juice Factory Available On 1 Acre Land,land,"ado-odo/ota, ogun",450000000.0,high,,,,,2026-01-25,NaT,Ogun
10704,Full Plot Of Land In A Gated And Secured Estate,land,"arepo, berger, arepo, ogun",60000000.0,high,,,,,2026-01-26,NaT,Ogun
10705,Well Built 4 Bedroom Bungalow On A Full Plot Of Land,land,"forthright garden estate, berger, arepo, ogun",160000000.0,high,4.0,4.0,40000000.0,,2026-01-22,NaT,Ogun
10706,5 Plots Of Land With Deed Of Assignment,land,"queens park estate 11, potoki/awo village, mowe ofada, ogun",6500000.0,low,,,,,2026-01-24,NaT,Ogun
10707,A Prime Land 9870 Square Meter,land,"hiltop gra, abeokuta south, ogun",1000000000.0,high,,,,,2026-01-24,NaT,Ogun
